,AA,AA,AA,AA,AA,AAL,AAL,AAL,AAL,AAL,AAPL,AAPL,AAPL,AAPL,AAPL,AIG,AIG,AIG,AIG,AIG,AMAT,AMAT,AMAT,AMAT,AMAT,AMC,AMC,AMC,AMC,AMC,AMD,AMD,AMD,AMD,AMD,AMGN,AMGN,AMGN,AMGN,AMGN,AMZN,AMZN,AMZN,AMZN,AMZN,APA,APA,APA,APA,APA,BA,BA,BA,BA,BA,BABA,BABA,BABA,BABA,BABA,BAC,BAC,BAC,BAC,BAC,BBY,BBY,BBY,BBY,BBY,BIDU,BIDU,BIDU,BIDU,BIDU,BP,BP,BP,BP,BP,C,C,C,C,C,CAT,CAT,CAT,CAT,CAT,CMG,CMG,CMG,CMG,CMG,AA,AA,AAL,AAL,AAPL,AAPL,AIG,AIG,AMAT,AMAT,AMC,AMC,AMD,AMD,AMGN,AMGN,AMZN,AMZN,APA,APA,BA,BA,BABA,BABA,BAC,BAC,BBY,BBY,BIDU,BIDU,BP,BP,C,C,CAT,CAT,CMG,CMG
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema,fast_ema,slow_ema
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 13:45:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915.3,1916.75,1915.3,1916.75,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 13:51:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918.14,1918.14,1918.14,1918.14,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 14:00:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.82,1919.82,1919.82,1919.82,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 14:12:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.5,1920.5,1920.5,1920.5,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 14:27:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.405,1920.405,1920.405,1920.405,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 14:38:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.87,1919.87,1919.83,1919.83,508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 14:39:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.72,1919.72,1919.72,1919.72,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03 14:41:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.54,1919.54,1919.54,1919.54,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
